title,places
"
      Anne of Green Gables
","
    Avonlea, Prince Edward Island

(Canada)


    
    Prince Edward Island

(Canada)


    
"
"
      Charlotte's Web
",Setting
"
      Of Mice and Men
",Setting
"
      The Time Traveler's Wife
",Setting
"
      Dracula
",Setting
"
      Brave New World
",Setting
"
      One Hundred Years of Solitude
",Macondo
"
      The Lightning Thief
","
    New York City, New York

(United States)


    
    Montauk, New York

(United States)


    
    New Jersey

(United States)


    
    …more
          St. Louis, Missouri

(United States)


        
          Las Vegas, Nevada

(United States)


        
          Long Island, New York

(United States)


        
…less"
"
      The Catcher in the Rye
",Setting
"
      The Princess Bride
",
"
      The Secret Garden
",Setting
"
      A Thousand Splendid Suns
","Characters
                
                  Laila, Mariam, Rasheed, Tariq"
"
      A Game of Thrones
","
    The Lands of Ice and Fire

    
"
"
      A Wrinkle in Time
",
"
      The Adventures of Huckleberry Finn
","
    United States of America

    
    St. Petersburg, Missouri

(United States)


    
    Hannibal, Missouri,
1840

(United States)


    
    …more
          Missouri

(United States)


        
          Mississippi River

(United States)


        
…less"
"
      The Outsiders
","Tulsa, Oklahoma,
1965

(United States)"
"
      The Lovely Bones
",Setting
"
      Where the Wild Things Are
",
"
      Green Eggs and Ham
",
"
      The Odyssey
",Setting
"
      Life of Pi
",Setting
"
      A Tale of Two Cities
","Characters
                
                  Sydney Carton, Charles Darnay, Lucie Manette, Madame Therese Defarge, Dr. Alexandre Manette"
"
      Water for Elephants
",Setting
"
      Lolita
",Setting
"
      Slaughterhouse-Five
",Setting
"
      The Kite Runner
",Setting
"
      Frankenstein: The 1818 Text
",Setting
"
      The Handmaid's Tale
","
    Cambridge, Massachusetts,
2005

(United States)


    
    Republic of Gilead,
2005

    
"
"
      The Giver
",
"
      Dune
",Setting
"
      Catch-22
","
    Pianosa,
1944

(Italy)


    
"
"
      The Stand
",Setting
"
      The Pillars of the Earth
","
    England

    
"
