author,avg_ratings,original_publish_year,title,awards,Root
Fyodor Dostoyevsky,"
  4.23
",1866,"
      Crime and Punishment
",,undefined
Cassandra Clare,"
  4.10
",2007,"
      City of Bones
",,undefined
Orson Scott Card,"
  4.30
",1985,"
      Ender's Game
",,undefined
Kathryn Stockett,"
  4.46
",2009,"
      The Help
",,undefined
J.K. Rowling,"
  4.48
",1997,"
      Harry Potter and the Sorcerer's Stone
","Mythopoeic Fantasy Award for Children's Literature (2008), British Book Award for Children's Book of the Year (1998), Prijs van de Nederlandse Kinderjury for 6-9 jaar en 10-12 jaar (2002), American Booksellers Book Of The Year  Award for Children (1999), Audie Award (2000)
                      
                          West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2000), South Carolina Book Award for Junior Book Award (2001), Grand Canyon Reader Award for Teen Book (2000), Charlotte Award (2000), Nene Award (2000), Massachusetts Children's Book Award (2000), Colorado Blue Spruce Young Adult Book Award (2001), Blue Hen Book Award for Chapter Book (2001), Nevada Young Readers' Award for Young Reader Category (2000), Golden Archer Award for Middle/Junior High (2000), Indian Paintbrush Book Award (2000), Hotze de Roosprijs (2002), Nestlé Smarties Book Prize for 9–11 years (1997), Eliot Rosewater Indiana High School Book Award (2001), Kinderboekwinkelprijs (1999), Parenting Book of the Year Award (1998), North East Teenage Book Award (1999), Specsavers National Book Award for Children's Book of the Year (1998), Washington State Sasquatch Award (2000), Literaturpreis der Jury der jungen Leser for Kinderbuch (1999), Carnegie Medal Nominee (1997), Rebecca Caudill Young Readers' Book Award (2001), Premi Protagonista Jove for Categoria 12-13 anys (2000)",undefined
Antoine de Saint-Exupéry,"
  4.31
",1943,"
      The Little Prince
",,undefined
L.M. Montgomery,"
  4.26
",1908,"
      Anne of Green Gables
",,undefined
E.B. White,"
  4.18
",1952,"
      Charlotte's Web
",,undefined
John Steinbeck,"
  3.88
",1937,"
      Of Mice and Men
",,undefined
Audrey Niffenegger,"
  3.98
",2003,"
      The Time Traveler's Wife
",,undefined
Bram Stoker,"
  4.00
",1897,"
      Dracula
",,undefined
Aldous Huxley,"
  3.99
",1932,"
      Brave New World
",,undefined
Gabriel García Márquez,"
  4.08
",1967,"
      One Hundred Years of Solitude
",,undefined
Rick Riordan,"
  4.26
",2005,"
      The Lightning Thief
","Young Readers' Choice Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2011), South Carolina Book Award for Junior Book Award (2008), Grand Canyon Reader Award for Tween Book (2008), Nene Award (2008)
                      
                          Massachusetts Children's Book Award (2008), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2008), Rhode Island Teen Book Award Nominee (2007), Sunshine State Young Readers Award for Grades 6-8 (2007), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2008), Iowa Teen Award (2009), Lincoln Award Nominee (2009), Oklahoma Sequoyah Award for YA (2008), Rebecca Caudill Young Readers' Book Award (2009)",undefined
J.D. Salinger,"
  3.81
",1951,"
      The Catcher in the Rye
",,undefined
William Goldman,"
  4.25
",1973,"
      The Princess Bride
",,undefined
Frances Hodgson Burnett,"
  4.13
",1910,"
      The Secret Garden
",,undefined
Khaled Hosseini,"
  4.38
",2007,"
      A Thousand Splendid Suns
","British Book Award for Best Read of the Year (2008), Book Sense Book of the Year Award for Adult Fiction (2008), California Book Award for Fiction (Silver) (2007), Exclusive Books Boeke Prize Nominee (2007), Lincoln Award Nominee (2011)",undefined
George R.R. Martin,"
  4.45
",1996,"
      A Game of Thrones
","Nebula Award Nominee for Best Novel (1997), Locus Award for Best Fantasy Novel (1997), World Fantasy Award Nominee for Best Novel (1997), Premio Ignotus for Novela extranjera (2003)",undefined
Madeleine L'Engle,"
  3.99
",1962,"
      A Wrinkle in Time
",,undefined
Mark Twain,"
  3.82
",1884,"
      The Adventures of Huckleberry Finn
",,undefined
S.E. Hinton,"
  4.10
",1967,"
      The Outsiders
",,undefined
Alice Sebold,"
  3.82
",2002,"
      The Lovely Bones
",,undefined
Maurice Sendak,"
  4.22
",1963,"
      Where the Wild Things Are
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Dr. Seuss,"
  4.29
",1960,"
      Green Eggs and Ham
",,undefined
Homer,"
  3.77
",6800,"
      The Odyssey
",,undefined
Yann Martel,"
  3.92
",2001,"
      Life of Pi
",,undefined
Charles Dickens,"
  3.85
",1859,"
      A Tale of Two Cities
",,undefined
Sara Gruen,"
  4.09
",2006,"
      Water for Elephants
",,undefined
Vladimir Nabokov,"
  3.89
",1955,"
      Lolita
",,undefined
Kurt Vonnegut Jr.,"
  4.08
",1969,"
      Slaughterhouse-Five
",,undefined
Khaled Hosseini,"
  4.31
",2003,"
      The Kite Runner
",,undefined
Mary Wollstonecraft Shelley,"
  3.81
",1818,"
      Frankenstein: The 1818 Text
",,undefined
Margaret Atwood,"
  4.11
",1985,"
      The Handmaid's Tale
",,undefined
Lois Lowry,"
  4.13
",1993,"
      The Giver
",,undefined
Frank Herbert,"
  4.23
",1965,"
      Dune
",,undefined
Joseph Heller,"
  3.98
",1961,"
      Catch-22
",National Book Award Finalist for Fiction (1962),undefined
Stephen King,"
  4.34
",1978,"
      The Stand
",,undefined
Ken Follett,"
  4.32
",1989,"
      The Pillars of the Earth
",,undefined
Arthur Conan Doyle,"
  4.30
",1892,"
      The Adventures of Sherlock Holmes
",,undefined
Richard  Adams,"
  4.06
",1972,"
      Watership Down
","Mythopoeic Fantasy Award Nominee (1975), Guardian Children's Fiction Prize (1973), Audie Award Nominee for Best Male Narrator (2020), Boston Globe-Horn Book Award (1975), California Young Readers Medal for Young Adult (1977)
                      
                          Carnegie Medal (1972)",undefined
Charles Dickens,"
  3.78
",1861,"
      Great Expectations
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Louisa May Alcott,"
  4.09
",1868,"
      Little Women
",,undefined
J.K. Rowling,"
  4.62
",2007,"
      Harry Potter and the Deathly Hallows
","Locus Award Nominee for Best Young Adult Novel (2008), Odyssey Award Nominee (2008), Audie Award (2008), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2008), Teen Read Award Nominee for Best All-Time-Fave (2010)
                      
                          Puddly Award for Fiction (2008), Andre Norton Award (2007), Carnegie Medal Nominee (2008)",undefined
Sylvia Plath,"
  4.01
",1963,"
      The Bell Jar
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Leo Tolstoy,"
  4.06
",1877,"
      Anna Karenina
",,undefined
Ken Kesey,"
  4.19
",1962,"
      One Flew Over the Cuckoo's Nest
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Roald Dahl,"
  4.32
",1988,"
      Matilda
",,undefined
George Orwell,"
  4.19
",1949,"
      1984
",,undefined
Diana Gabaldon,"
  4.23
",1991,"
      Outlander
","RITA Award by Romance Writers of America for Best Romance of 1991 & nominee for Best First Book & nominee for Single Title Historical Romance (1992), Puddly Award for Romance (2001)",undefined
Jodi Picoult,"
  4.08
",2004,"
      My Sister's Keeper
",,undefined
Stieg Larsson,"
  4.14
",2005,"
      The Girl with the Dragon Tattoo
",,undefined
Daphne du Maurier,"
  4.23
",1938,"
      Rebecca
",,undefined
Alice Walker,"
  4.23
",1982,"
      The Color Purple
","Pulitzer Prize for Fiction (1983), National Book Award for Fiction (Hardcover) (1983), National Book Critics Circle Award Nominee for Fiction (1982), Townsend Prize for Fiction (1984)",undefined
Betty  Smith,"
  4.27
",1943,"
      A Tree Grows in Brooklyn
",,undefined
Anthony Burgess,"
  3.99
",1962,"
      A Clockwork Orange
",,undefined
Fyodor Dostoyevsky,"
  4.32
",1879,"
      The Brothers Karamazov
",,undefined
Cormac McCarthy,"
  3.97
",2006,"
      The Road
",,undefined
Frank McCourt,"
  4.12
",1996,"
      Angela's Ashes
","Pulitzer Prize for Biography or Autobiography (1997), American Booksellers Book Of The Year  Award for Adult Trade (1997), Audie Award for Nonfiction, Abridged (1997), Los Angeles Times Book Prize for Biography (1996), Exclusive Books Boeke Prize (1997)
                      
                          National Book Critics Circle Award for Biography/Autobiography (1996)",undefined
Richelle Mead,"
  4.11
",2007,"
      Vampire Academy
",,undefined
Hermann Hesse,"
  4.03
",1922,"
      Siddhartha
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Barbara Kingsolver,"
  4.07
",1998,"
      The Poisonwood Bible
",,undefined
J.K. Rowling,"
  4.57
",1999,"
      Harry Potter and the Prisoner of Azkaban
","Bram Stoker Award for Best Work for Young Readers (1999), Hugo Award Nominee for Best Novel (2000), Locus Award for Best Fantasy Novel (2000), Whitbread Award for Children's Book of the Year (1999), Mythopoeic Fantasy Award for Children's Literature (2008)
                      
                          Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005), Colorado Blue Spruce Young Adult Book Award (2004), Maine Student Book Award (2001), Golden Archer Award for Intermediate (2001), Indian Paintbrush Book Award (2004), Soaring Eagle Book Award (2002), Hotze de Roosprijs (2001), Nestlé Smarties Book Prize for 9–11 years (1999)",undefined
Philip Pullman,"
  3.99
",1995,"
      The Golden Compass
","Guardian Children's Fiction Prize (1996), Audie Award for Children's Titles (2000), Lincoln Award Nominee (2005), Carnegie Medal (1995)",undefined
Miguel de Cervantes Saavedra,"
  3.88
",1615,"
      Don Quixote
",,undefined
J.R.R. Tolkien,"
  4.36
",1954,"
      The Fellowship of the Ring
",Publieksprijs voor het Nederlandse Boek Nominee (2002),undefined
Ayn Rand,"
  3.69
",1957,"
      Atlas Shrugged
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ernest Hemingway,"
  3.79
",1952,"
      The Old Man and the Sea
",,undefined
Nicholas Sparks,"
  4.11
",1996,"
      The Notebook
",,undefined
Edgar Allan Poe,"
  4.37
",1849,"
      The Complete Stories and Poems
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
A.A. Milne,"
  4.33
",1926,"
      Winnie-the-Pooh
",,undefined
Anne Rice,"
  4.00
",1976,"
      Interview with the Vampire
",British Fantasy Award Nominee for Best Novel (1977),undefined
John Irving,"
  4.23
",1989,"
      A Prayer for Owen Meany
",,undefined
Herman Melville,"
  3.51
",1851,"
      Moby-Dick or, the Whale
",,undefined
J.K. Rowling,"
  4.56
",2000,"
      Harry Potter and the Goblet of Fire
",,undefined
Anita Diamant,"
  4.18
",1997,"
      The Red Tent
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Sue Monk Kidd,"
  4.06
",2001,"
      The Secret Life of Bees
",,undefined
Cassandra Clare,"
  4.31
",2010,"
      Clockwork Angel
","RITA Award by Romance Writers of America Nominee for Young Adult Romance (2011), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel (2010), The Inky Awards for Silver Inky (2011), Lincoln Award Nominee (2013), Goodreads Choice Award Nominee for Young Adult Fantasy and for Favorite Book and for Goodreads Author (2010)
                      
                          The Inky Awards Shortlist for Silver Inky (2011), Oklahoma Sequoyah Award for High School (2013), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2010)",undefined
J.K. Rowling,"
  4.57
",2005,"
      Harry Potter and the Half-Blood Prince
",,undefined
Agatha Christie,"
  4.26
",1939,"
      And Then There Were None
",,undefined
Jeffrey Eugenides,"
  4.01
",2002,"
      Middlesex
",,undefined
Albert Camus,"
  3.99
",1942,"
      The Stranger
",,undefined
Mikhail Bulgakov,"
  4.29
",1967,"
      The Master and Margarita
",,undefined
Stephen King,"
  4.23
",1977,"
      The Shining
","Locus Award Nominee for Best Fantasy Novel (1978), Gandalf Award Nominee (1978)",undefined
Patrick Rothfuss,"
  4.52
",2007,"
      The Name of the Wind
",,undefined
Mark Twain,"
  3.91
",1876,"
      The Adventures of Tom Sawyer
",Lewis Carroll Shelf Award (1967),undefined
Christopher Paolini,"
  3.91
",2002,"
      Eragon
","Book Sense Book of the Year Award for Children's Literature (2004), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2007), South Carolina Book Award for Young Adult Book (2006), Grand Canyon Reader Award for Teen Book (2006), Nene Award (2006)
                      
                          Colorado Blue Spruce Young Adult Book Award (2005), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2005), Rhode Island Teen Book Award (2005), Beehive Book Award for Young Adult Book (2005), Evergreen Teen Book Award (2006), Golden Archer Award for Middle/Junior High (2006), Soaring Eagle Book Award (2005), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2006), Iowa Teen Award (2008), Eliot Rosewater Indiana High School Book Award (2006), Literaturpreis der Jury der jungen Leser for Kinderbuch (2005), Virginia Reader's Choice for Middle (2005), Missouri Gateway Readers Award for Young Adult (2006), Oklahoma Sequoyah Award for YA (2006), Rebecca Caudill Young Readers' Book Award (2006)",undefined
Roald Dahl,"
  4.14
",1964,"
      Charlie and the Chocolate Factory
",,undefined
Daniel Keyes,"
  4.15
",1959,"
      Flowers for Algernon
",,undefined
Franz Kafka,"
  3.83
",1915,"
      The Metamorphosis
",,undefined
Jack Kerouac,"
  3.62
",1957,"
      On the Road
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
John Green,"
  4.02
",2005,"
      Looking for Alaska
",,undefined
Mark Haddon,"
  3.89
",2003,"
      The Curious Incident of the Dog in the Night-Time
","Booker Prize Nominee for Longlist (2003), James Tait Black Memorial Prize Nominee for Fiction (2003), Whitbread Award for Novel and Book of the Year (2003), Guardian Children's Fiction Prize (2003), McKitterick Prize (2004)
                      
                          Los Angeles Times Book Prize for Art Seidenbaum Award for First Fiction (2003), Exclusive Books Boeke Prize (2004), ALA Alex Award (2004), Zilveren Zoen (2004), Lincoln Award Nominee (2006), Commonwealth Writers' Prize for Best First Book Overall (2004), North East Teenage Book Award Nominee (2004), Carnegie Medal Nominee (2003), Dolly Gray Children's Literature Award (2004), Premi Protagonista Jove for Categoria 15-16 anys (2006)",undefined
Carlos Ruiz Zafón,"
  4.27
",2001,"
      The Shadow of the Wind
",,undefined
Eric Carle,"
  4.29
",1969,"
      The Very Hungry Caterpillar
",,undefined
Mitch Albom,"
  4.12
",1997,"
      Tuesdays with Morrie
",,undefined
Milan Kundera,"
  4.10
",1984,"
      The Unbearable Lightness of Being
",,undefined
J.K. Rowling,"
  4.43
",1998,"
      Harry Potter and the Chamber of Secrets
",,undefined
Umberto Eco,"
  4.13
",1980,"
      The Name of the Rose
",,undefined
Wilson Rawls,"
  4.08
",1961,"
      Where the Red Fern Grows
",,undefined
Mario Puzo,"
  4.36
",1969,"
      The Godfather
",,undefined
Nathaniel Hawthorne,"
  3.41
",1850,"
      The Scarlet Letter
",,undefined
Truman Capote,"
  4.07
",1965,"
      In Cold Blood
",,undefined
Mitch Albom,"
  3.94
",2003,"
      The Five People You Meet in Heaven
",Lincoln Award Nominee (2008),undefined
Chuck Palahniuk,"
  4.18
",1996,"
      Fight Club
",Oregon Book Award for Fiction (1997),undefined
Becca Fitzpatrick,"
  3.96
",2009,"
      Hush, Hush
",,undefined
Alexandre Dumas,"
  4.26
",1844,"
      The Count of Monte Cristo
",,undefined
Dr. Seuss,"
  4.17
",1957,"
      The Cat in the Hat
",,undefined
Neil Gaiman,"
  4.10
",2001,"
      American Gods
",,undefined
Patrick Süskind,"
  4.02
",1985,"
      Perfume: The Story of a Murderer
",,undefined
C.S. Lewis,"
  4.22
",1950,"
      The Lion, the Witch and the Wardrobe
",,undefined
Larry McMurtry,"
  4.47
",1985,"
      Lonesome Dove
","Pulitzer Prize for Fiction (1986), PEN/Faulkner Award for Fiction Nominee (1986), National Book Critics Circle Award Nominee for Fiction (1985), Spur Award for Best Western Novel (1985)",undefined
Louis Sachar,"
  3.97
",1998,"
      Holes
","Newbery Medal (1999), National Book Award for Young People's Literature (1998), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2001), Grand Canyon Reader Award for Teen Book (2001), Nene Award (2001)
                      
                          Maryland Black-Eyed Susan Book Award for Grade 6-9 (2001), Massachusetts Children's Book Award (2001), Flicker Tale Children's Book Award (2000), Pennsylvania Young Readers' Choice Award for Grades 6-8 (2000), Dorothy Canfield Fisher Children's Book Award (2000), Evergreen Teen Book Award (2001), Soaring Eagle Book Award (2003), Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2002), Pacific Northwest Library Association Young Reader's Choice Award for Junior (2001), Zilveren Zoen (2000), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2001), Boston Globe-Horn Book Award for Fiction (1999), New Mexico Land of Enchantment Award for Young Adult (2001), William Allen White Children's Book Award (2001), Oklahoma Sequoyah Award for Children and YA (2001), Rebecca Caudill Young Readers' Book Award (2002), Premi Protagonista Jove for Categoria 14-15 anys (2000)",undefined
Rick Riordan,"
  4.50
",2009,"
      The Last Olympian
",,undefined
Stephen King,"
  4.24
",1986,"
      It
",,undefined
Alan Moore,"
  4.36
",1987,"
      Watchmen
","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992)
                      
                          Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005)",undefined
Laura Ingalls Wilder,"
  4.34
",1971,"
      The Little House Collection
",,undefined
Dante Alighieri,"
  4.04
",1320,"
      The Divine Comedy
",,undefined
J.M. Barrie,"
  4.04
",1911,"
      Peter Pan
",,undefined
Erich Maria Remarque,"
  3.99
",1929,"
      All Quiet on the Western Front
",Luisterboek Award Nominee (2015),undefined
J.R.R. Tolkien,"
  4.28
",1937,"
      The Hobbit, or There and Back Again
","Keith Barker Millennium Book Award, Books I Loved Best Yearly (BILBY) Awards for Older Readers (1997), Mythopoeic Scholarship Award for Inklings Studies (1990)",undefined
Reduced Shakespeare Company,"
  4.45
",1994,"
      The Compleat Works of Wllm Shkspr (abridged)
",,undefined
Gabriel García Márquez,"
  3.92
",1985,"
      Love in the Time of Cholera
",,undefined
Veronica Roth,"
  4.02
",2012,"
      Insurgent
","Romantic Times Reviewers' Choice Award (RT Award) for Young Adult Protagonist (2011), Goodreads Choice Award for Young Adult Fantasy and Goodreads Author (2012)",undefined
Richelle Mead,"
  4.34
",2008,"
      Shadow Kiss
",,undefined
Colleen McCullough,"
  4.23
",1977,"
      The Thorn Birds
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Nicholas Sparks,"
  4.18
",1999,"
      A Walk to Remember
",,undefined
Dr. Seuss,"
  4.35
",1957,"
      How the Grinch Stole Christmas!
",,undefined
Douglas Adams,"
  4.36
",1996,"
      The Ultimate Hitchhiker's Guide to the Galaxy
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Elizabeth Gilbert,"
  3.57
",2006,"
      Eat, Pray, Love
",,undefined
Oscar Wilde,"
  4.18
",1895,"
      The Importance of Being Earnest
",,undefined
Ian McEwan,"
  3.91
",2001,"
      Atonement
",,undefined
Zora Neale Hurston,"
  3.94
",1937,"
      Their Eyes Were Watching God
",,undefined
Alexandre Dumas,"
  4.07
",1844,"
      The Three Musketeers
",,undefined
L. Frank Baum,"
  3.98
",1900,"
      The Wonderful Wizard of Oz
",Lewis Carroll Shelf Award (1968),undefined
Richelle Mead,"
  4.26
",2008,"
      Frostbite
",,undefined
Margaret Wise Brown,"
  4.28
",1947,"
      Goodnight Moon
",,undefined
Terry Pratchett,"
  4.24
",1990,"
      Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch
",,undefined
Dr. Seuss,"
  4.33
",1971,"
      The Lorax
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
J.R.R. Tolkien,"
  4.36
",1954,"
      The Fellowship of the Ring
",,undefined
Richelle Mead,"
  4.31
",2009,"
      Blood Promise
",,undefined
Thomas Hardy,"
  3.81
",1891,"
      Tess of the D'Urbervilles
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Rick Riordan,"
  4.39
",2008,"
      The Battle of the Labyrinth
",,undefined
Cassandra Clare,"
  4.56
",2013,"
      Clockwork Princess
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),undefined
Joseph Conrad,"
  3.43
",1899,"
      Heart of Darkness
",,undefined
Pearl S. Buck,"
  3.99
",1931,"
      The Good Earth
","Pulitzer Prize for Novel (1932), William Dean Howells Medal (1935)",undefined
William Shakespeare,"
  3.95
",1595,"
      A Midsummer Night's Dream
",,undefined
Kahlil Gibran,"
  4.22
",1923,"
      The Prophet
",,undefined
