Number,jstooltiptrigger_URL,Image,Title_URL,Title,Author_URL,Author,minirating,greytext,smalltext,progresstrigger,wtrtoread__spancontains_class_progresstrigger,myrating
11,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405._SY75_.jpg,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,Gone with the Wind,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,Margaret Mitchell," 4.30 avg rating — 1,089,441 ratings",and,and,Want to Read,Want to Read,Rate this book
12,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152i/386162._SX50_.jpg,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",https://www.goodreads.com/author/show/4.Douglas_Adams,Douglas Adams," 4.22 avg rating — 1,475,216 ratings",and,and,Want to Read,Want to Read,Rate this book
13,https://www.goodreads.com/book/show/370493.The_Giving_Tree,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174210942i/370493._SX50_.jpg,https://www.goodreads.com/book/show/370493.The_Giving_Tree,The Giving Tree,https://www.goodreads.com/author/show/435477.Shel_Silverstein,Shel Silverstein," 4.37 avg rating — 926,989 ratings",and,and,Want to Read,Want to Read,Rate this book
14,https://www.goodreads.com/book/show/6185.Wuthering_Heights,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1587655304i/6185._SY75_.jpg,https://www.goodreads.com/book/show/6185.Wuthering_Heights,Wuthering Heights,https://www.goodreads.com/author/show/4191.Emily_Bront_,Emily Brontë," 3.86 avg rating — 1,375,083 ratings",and,and,Want to Read,Want to Read,Rate this book
15,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579621267i/968._SY75_.jpg,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,"The Da Vinci Code (Robert Langdon, #2)",https://www.goodreads.com/author/show/630.Dan_Brown,Dan Brown," 3.86 avg rating — 1,973,348 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
16,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297._SY75_.jpg,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,The Picture of Dorian Gray,https://www.goodreads.com/author/show/3565.Oscar_Wilde,Oscar Wilde," 4.09 avg rating — 996,890 ratings",and,and,Want to Read,Want to Read,Rate this book
17,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,Memoirs of a Geisha,https://www.goodreads.com/author/show/614.Arthur_Golden,Arthur Golden," 4.12 avg rating — 1,744,378 ratings",and,and,Want to Read,Want to Read,Rate this book
18,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327872220i/24213._SY75_.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,Alice's Adventures in Wonderland / Through the Looking-Glass,https://www.goodreads.com/author/show/8164.Lewis_Carroll,Lewis Carroll," 4.06 avg rating — 469,541 ratings",and,and,Want to Read,Want to Read,Rate this book
19,https://www.goodreads.com/book/show/10210.Jane_Eyre,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210._SY75_.jpg,https://www.goodreads.com/book/show/10210.Jane_Eyre,Jane Eyre,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,Charlotte Brontë," 4.13 avg rating — 1,661,255 ratings",and,and,Want to Read,Want to Read,Rate this book
20,https://www.goodreads.com/book/show/24280.Les_Mis_rables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg,https://www.goodreads.com/book/show/24280.Les_Mis_rables,Les Misérables,https://www.goodreads.com/author/show/13661.Victor_Hugo,Victor Hugo," 4.18 avg rating — 693,048 ratings",and,and,Want to Read,Want to Read,Rate this book
21,https://www.goodreads.com/book/show/13079982-fahrenheit-451,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451,Fahrenheit 451,https://www.goodreads.com/author/show/1630.Ray_Bradbury,Ray Bradbury," 3.99 avg rating — 1,731,834 ratings",and,and,Want to Read,Want to Read,Rate this book
22,https://www.goodreads.com/book/show/13335037-divergent,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1588455221i/13335037._SY75_.jpg,https://www.goodreads.com/book/show/13335037-divergent,"Divergent (Divergent, #1)",https://www.goodreads.com/author/show/4039811.Veronica_Roth,Veronica Roth," 4.19 avg rating — 2,988,051 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
23,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,Lord of the Flies,https://www.goodreads.com/author/show/306.William_Golding,William Golding," 3.69 avg rating — 2,313,407 ratings",and,and,Want to Read,Want to Read,Rate this book
24,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572098085i/18135._SY75_.jpg,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,Romeo and Juliet,https://www.goodreads.com/author/show/947.William_Shakespeare,William Shakespeare," 3.75 avg rating — 2,094,041 ratings",and,and,Want to Read,Want to Read,Rate this book
25,https://www.goodreads.com/book/show/18144590-the-alchemist,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466865542i/18144590._SY75_.jpg,https://www.goodreads.com/book/show/18144590-the-alchemist,The Alchemist,https://www.goodreads.com/author/show/566.Paulo_Coelho,Paulo Coelho," 3.88 avg rating — 2,173,975 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
26,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1520093244i/22628._SY75_.jpg,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower,The Perks of Being a Wallflower,https://www.goodreads.com/author/show/12898.Stephen_Chbosky,Stephen Chbosky," 4.20 avg rating — 1,281,201 ratings",and,and,Want to Read,Want to Read,Rate this book
27,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1490528560i/4671._SY75_.jpg,https://www.goodreads.com/book/show/4671.The_Great_Gatsby,The Great Gatsby,https://www.goodreads.com/author/show/3190.F_Scott_Fitzgerald,F. Scott Fitzgerald," 3.92 avg rating — 3,876,028 ratings",and,and,Want to Read,Want to Read,Rate this book
28,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144._SY75_.jpg,https://www.goodreads.com/book/show/7144.Crime_and_Punishment,Crime and Punishment,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,Fyodor Dostoyevsky," 4.23 avg rating — 646,122 ratings",and,and,Want to Read,Want to Read,Rate this book
29,https://www.goodreads.com/book/show/256683.City_of_Bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones,"City of Bones (The Mortal Instruments, #1)",https://www.goodreads.com/author/show/150038.Cassandra_Clare,Cassandra Clare," 4.10 avg rating — 1,655,227 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
30,https://www.goodreads.com/book/show/375802.Ender_s_Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game,"Ender's Game (Ender's Saga, #1)",https://www.goodreads.com/author/show/589.Orson_Scott_Card,Orson Scott Card," 4.30 avg rating — 1,156,739 ratings",and,and,Want to Read,Want to Read,Rate this book
31,https://www.goodreads.com/book/show/4667024-the-help,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1572940430i/4667024._SY75_.jpg,https://www.goodreads.com/book/show/4667024-the-help,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,Kathryn Stockett," 4.46 avg rating — 2,217,828 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
32,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3._SY75_.jpg,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling," 4.48 avg rating — 7,278,168 ratings",and,and,Want to Read,Want to Read,Rate this book
33,https://www.goodreads.com/book/show/157993.The_Little_Prince,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993._SY75_.jpg,https://www.goodreads.com/book/show/157993.The_Little_Prince,The Little Prince,https://www.goodreads.com/author/show/1020792.Antoine_de_Saint_Exup_ry,Antoine de Saint-Exupéry," 4.31 avg rating — 1,421,642 ratings",and,and,Want to Read,Want to Read,Rate this book
34,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390789015i/8127._SY75_.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,"Anne of Green Gables (Anne of Green Gables, #1)",https://www.goodreads.com/author/show/5350.L_M_Montgomery,L.M. Montgomery," 4.26 avg rating — 749,333 ratings",and,and,Want to Read,Want to Read,Rate this book
35,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439632243i/24178._SY75_.jpg,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,Charlotte's Web,https://www.goodreads.com/author/show/988142.E_B_White,E.B. White," 4.18 avg rating — 1,453,899 ratings",and,and,Want to Read,Want to Read,Rate this book
36,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,Of Mice and Men,https://www.goodreads.com/author/show/585.John_Steinbeck,John Steinbeck," 3.88 avg rating — 1,985,007 ratings",and,and,Want to Read,Want to Read,Rate this book
37,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380660571i/18619684._SX50_.jpg,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,The Time Traveler's Wife,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger,Audrey Niffenegger," 3.98 avg rating — 1,599,160 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
38,https://www.goodreads.com/book/show/17245.Dracula,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg,https://www.goodreads.com/book/show/17245.Dracula,Dracula,https://www.goodreads.com/author/show/6988.Bram_Stoker,Bram Stoker,"really liked it
 4.00 avg rating — 965,303 ratings",and,and,Want to Read,Want to Read,Rate this book
39,https://www.goodreads.com/book/show/5129.Brave_New_World,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,Brave New World,https://www.goodreads.com/author/show/3487.Aldous_Huxley,Aldous Huxley," 3.99 avg rating — 1,475,146 ratings",and,and,Want to Read,Want to Read,Rate this book
40,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,One Hundred Years of Solitude,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,Gabriel García Márquez," 4.08 avg rating — 770,133 ratings",and,and,Want to Read,Want to Read,Rate this book
41,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187._SY75_.jpg,https://www.goodreads.com/book/show/28187.The_Lightning_Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",https://www.goodreads.com/author/show/15872.Rick_Riordan,Rick Riordan," 4.26 avg rating — 2,056,735 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
42,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,The Catcher in the Rye,https://www.goodreads.com/author/show/819789.J_D_Salinger,J.D. Salinger," 3.81 avg rating — 2,798,346 ratings",and,and,Want to Read,Want to Read,Rate this book
43,https://www.goodreads.com/book/show/21787.The_Princess_Bride,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787._SY75_.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride,The Princess Bride,https://www.goodreads.com/author/show/12521.William_Goldman,William Goldman," 4.25 avg rating — 793,817 ratings",and,and,Want to Read,Want to Read,Rate this book
44,https://www.goodreads.com/book/show/2998.The_Secret_Garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,https://www.goodreads.com/book/show/2998.The_Secret_Garden,The Secret Garden,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,Frances Hodgson Burnett," 4.13 avg rating — 916,154 ratings",and,and,Want to Read,Want to Read,Rate this book
45,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1345958969i/128029._SY75_.jpg,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,A Thousand Splendid Suns,https://www.goodreads.com/author/show/569.Khaled_Hosseini,Khaled Hosseini," 4.38 avg rating — 1,179,337 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
46,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",https://www.goodreads.com/author/show/346732.George_R_R_Martin,George R.R. Martin," 4.45 avg rating — 2,046,561 ratings",and,and,Want to Read,Want to Read,Rate this book
47,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,"A Wrinkle in Time (Time Quintet, #1)",https://www.goodreads.com/author/show/106.Madeleine_L_Engle,Madeleine L'Engle," 3.99 avg rating — 1,068,018 ratings",and,and,Want to Read,Want to Read,Rate this book
48,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,The Adventures of Huckleberry Finn,https://www.goodreads.com/author/show/1244.Mark_Twain,Mark Twain," 3.82 avg rating — 1,164,217 ratings",and,and,Want to Read,Want to Read,Rate this book
49,https://www.goodreads.com/book/show/231804.The_Outsiders,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,https://www.goodreads.com/book/show/231804.The_Outsiders,The Outsiders,https://www.goodreads.com/author/show/762707.S_E_Hinton,S.E. Hinton," 4.10 avg rating — 964,541 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
50,https://www.goodreads.com/book/show/12232938-the-lovely-bones,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg,https://www.goodreads.com/book/show/12232938-the-lovely-bones,The Lovely Bones,https://www.goodreads.com/author/show/316.Alice_Sebold,Alice Sebold," 3.82 avg rating — 2,052,412 ratings",and,and,Want to Read,Want to Read,Rate this book
51,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,Where the Wild Things Are,https://www.goodreads.com/author/show/4489.Maurice_Sendak,Maurice Sendak," 4.22 avg rating — 836,223 ratings",and,and,Want to Read,Want to Read,Rate this book
52,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468680100i/23772._SX50_.jpg,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,Green Eggs and Ham,https://www.goodreads.com/author/show/61105.Dr_Seuss,Dr. Seuss," 4.29 avg rating — 634,339 ratings",and,and,Want to Read,Want to Read,Rate this book
53,https://www.goodreads.com/book/show/1381.The_Odyssey,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390173285i/1381._SY75_.jpg,https://www.goodreads.com/book/show/1381.The_Odyssey,The Odyssey,https://www.goodreads.com/author/show/903.Homer,Homer," 3.77 avg rating — 877,135 ratings",and,and,Want to Read,Want to Read,Rate this book
54,https://www.goodreads.com/book/show/4214.Life_of_Pi,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320562005i/4214._SY75_.jpg,https://www.goodreads.com/book/show/4214.Life_of_Pi,Life of Pi,https://www.goodreads.com/author/show/811.Yann_Martel,Yann Martel," 3.92 avg rating — 1,366,270 ratings",and,and,Want to Read,Want to Read,Rate this book
55,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953._SY75_.jpg,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,A Tale of Two Cities,https://www.goodreads.com/author/show/239579.Charles_Dickens,Charles Dickens," 3.85 avg rating — 821,725 ratings",and,and,Want to Read,Want to Read,Rate this book
56,https://www.goodreads.com/book/show/43641.Water_for_Elephants,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494428973i/43641._SY75_.jpg,https://www.goodreads.com/book/show/43641.Water_for_Elephants,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen,Sara Gruen," 4.09 avg rating — 1,404,522 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
57,https://www.goodreads.com/book/show/7604.Lolita,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg,https://www.goodreads.com/book/show/7604.Lolita,Lolita,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,Vladimir Nabokov," 3.89 avg rating — 675,583 ratings",and,and,Want to Read,Want to Read,Rate this book
58,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1606208827i/4981._SY75_.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,Slaughterhouse-Five,https://www.goodreads.com/author/show/2778055.Kurt_Vonnegut_Jr_,Kurt Vonnegut Jr.," 4.08 avg rating — 1,150,838 ratings",and,and,Want to Read,Want to Read,Rate this book
59,https://www.goodreads.com/book/show/77203.The_Kite_Runner,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,https://www.goodreads.com/book/show/77203.The_Kite_Runner,The Kite Runner,https://www.goodreads.com/author/show/569.Khaled_Hosseini,Khaled Hosseini," 4.31 avg rating — 2,482,652 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
60,https://www.goodreads.com/book/show/35031085-frankenstein,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498841231i/35031085._SY75_.jpg,https://www.goodreads.com/book/show/35031085-frankenstein,Frankenstein: The 1818 Text,https://www.goodreads.com/author/show/11139.Mary_Wollstonecraft_Shelley,Mary Wollstonecraft Shelley," 3.81 avg rating — 1,192,249 ratings",and,and,Want to Read,Want to Read,Rate this book
61,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,"The Handmaid's Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/author/show/3472.Margaret_Atwood,Margaret Atwood," 4.11 avg rating — 1,508,437 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
62,https://www.goodreads.com/book/show/3636.The_Giver,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,https://www.goodreads.com/book/show/3636.The_Giver,"The Giver (The Giver, #1)",https://www.goodreads.com/author/show/2493.Lois_Lowry,Lois Lowry," 4.13 avg rating — 1,836,191 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
63,https://www.goodreads.com/book/show/44767458-dune,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg,https://www.goodreads.com/book/show/44767458-dune,"Dune (Dune, #1)",https://www.goodreads.com/author/show/58.Frank_Herbert,Frank Herbert," 4.23 avg rating — 806,153 ratings",and,and,Want to Read,Want to Read,Rate this book
64,https://www.goodreads.com/book/show/168668.Catch_22,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg,https://www.goodreads.com/book/show/168668.Catch_22,"Catch-22 (Catch-22, #1)",https://www.goodreads.com/author/show/3167.Joseph_Heller,Joseph Heller," 3.98 avg rating — 734,597 ratings",and,and,Want to Read,Want to Read,Rate this book
65,https://www.goodreads.com/book/show/149267.The_Stand,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267._SX50_.jpg,https://www.goodreads.com/book/show/149267.The_Stand,The Stand,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen King," 4.34 avg rating — 630,103 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
66,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043._SY75_.jpg,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,"The Pillars of the Earth (Kingsbridge, #1)",https://www.goodreads.com/author/show/3447.Ken_Follett,Ken Follett," 4.32 avg rating — 667,756 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
