num_pages,num_reviews,genre1,is_series,Location,title,Author,awards,Root
,"
    
    10,520
    reviews
",,Series,"
    Middle-earth

    
","
      The Return of the King
",J.R.R. Tolkien,,
728 pages,"
    
    3,684
    reviews
",,URL,Setting,"
      Acheron
",Sherrilyn Kenyon,,undefined
,"
    
    5,170
    reviews
",,Characters,,"
      Lady Chatterley's Lover
",D.H. Lawrence,,undefined
,"
    
    29,806
    reviews
",,Series,,"
      The Elite
",Kiera Cass,,undefined
,"
    
    8,209
    reviews
",,Series,"
    Coldwater, Maine

(United States)


    
","
      Silence
",Becca Fitzpatrick,"
                  Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011)
                ",undefined
,"
    
    4,426
    reviews
",,Characters,,"
      Nine Stories
",J.D. Salinger,,undefined
249 pages,"
    
    18,935
    reviews
",,Characters,,"
      Persuasion
",Jane Austen,,undefined
440 pages,"
    
    15,898
    reviews
","
    
      
        Young Adult
      
        
          3,596 users
        
      
    
    
      
        Fantasy
      
        
          2,406 users
        
      
    
    
      
        Science Fiction
      
        
          2,029 users
        
      
    
    
      
        Fiction
      
        
          933 users
        
      
    
    
      
          Science Fiction >
        Aliens
      
        
          745 users
        
      
    
    
      
        Romance
      
        
          473 users
        
      
    
    
      
          Fantasy >
        Paranormal
      
        
          449 users
        
      
    
    
      
        Adventure
      
        
          419 users
        
      
    
    
      
          Young Adult >
        Teen
      
        
          261 users
        
      
    
    
      
        Action
      
        
          240 users
        
      
    
  See top shelves…
",URL,Setting,"
      I Am Number Four
",Pittacus Lore,,undefined
541 pages,"
    
    25,694
    reviews
","
    
      
        Fiction
      
        
          3,576 users
        
      
    
    
      
          Historical >
        Historical Fiction
      
        
          1,283 users
        
      
    
    
      
          Cultural >
        Africa
      
        
          834 users
        
      
    
    
      
        Book Club
      
        
          499 users
        
      
    
    
      
          Health >
        Medicine
      
        
          341 users
        
      
    
    
      
          Eastern Africa >
        Ethiopia
      
        
          334 users
        
      
    
    
      
        Medical
      
        
          225 users
        
      
    
    
      
        Novels
      
        
          210 users
        
      
    
    
      
        Literary Fiction
      
        
          200 users
        
      
    
    
      
        Historical
      
        
          179 users
        
      
    
  See top shelves…
",Characters,"
                Literary Awards
                
                  PEN/Hemingway Foundation Award Nominee (2010), Exclusive Books Boeke Prize Nominee (2011), Indies Choice Book Award for Adult Fiction (2010), Dayton Literary Peace Prize Nominee for Fiction (2010), Wellcome Book Prize Nominee for Shortlist (2009)
                      ...more
                          Goodreads Choice Award Nominee for Fiction (2009)
...less                
              ","
      Cutting for Stone
",Abraham   Verghese,,undefined
,"
    
    5,752
    reviews
",,Series,"
    Bon Temps, Louisiana

(United States)


    
","
      Dead to the World
",Charlaine Harris,,undefined
,"
    
    13,976
    reviews
",,Characters,"
                Literary Awards
                
                  Pulitzer Prize Nominee for General Nonfiction (1998), ALA Alex Award (1998), National Book Critics Circle Award Nominee for General Nonfiction (1997), Boardman Tasker Prize Nominee for Mountain Literature (1997)
                
              ","
      Into Thin Air: A Personal Account of the Mount Everest Disaster
",Jon Krakauer,,undefined
,"
    
    16,100
    reviews
","
    
      
        Young Adult
      
        
          3,219 users
        
      
    
    
      
          Fantasy >
        Paranormal
      
        
          2,071 users
        
      
    
    
      
        Fantasy
      
        
          1,828 users
        
      
    
    
      
        Romance
      
        
          1,535 users
        
      
    
    
      
        Mystery
      
        
          859 users
        
      
    
    
      
        Fiction
      
        
          494 users
        
      
    
    
      
          Fantasy >
        Supernatural
      
        
          380 users
        
      
    
    
      
        Horror
      
        
          304 users
        
      
    
    
      
        Contemporary
      
        
          276 users
        
      
    
    
      
          Romance >
        Paranormal Romance
      
        
          241 users
        
      
    
  See top shelves…
",Series,"
    Miami, Florida

(United States)


    
","
      The Unbecoming of Mara Dyer
",Michelle Hodkin,,undefined
